Spp,Count,Plot,Direction,Fire.affected,Type,true.plot
Berberis thunbergii,3,1-2-R,NE,NA,R,1-2-R-NE
Dicot,1,1-2-R,NE,NA,R,1-2-R-NE
Celastrus orbiculatus,1,1-2-R,NE,NA,R,1-2-R-NE
Symplocarpus foetidus,1,1-2-R,NE,NA,R,1-2-R-NE
Alliaria petiolata,3,1-2-R,NE,NA,R,1-2-R-NE
Polygonum spp.,3,1-2-R,NE,NA,R,1-2-R-NE
Rosa multiflora,9,1-2-R,NE,NA,R,1-2-R-NE
Monocot,2,1-2-R,NE,NA,R,1-2-R-NE
Ligustrum vulgare,45,1-2-R,SW,NA,R,1-2-R-SW
Impatiens spp.,5,1-2-R,SW,NA,R,1-2-R-SW
Viola spp.,2,1-2-R,SW,NA,R,1-2-R-SW
Monocot,4,1-2-R,SW,NA,R,1-2-R-SW
Berberis thunbergii,10,1-2-R,SW,NA,R,1-2-R-SW
Boehmeria spp.,2,1-2-R,SW,NA,R,1-2-R-SW
Rosa multiflora,12,1-2-R,SW,NA,R,1-2-R-SW
Lindera benzoin,2,1-3-C,W,NA,C,1-3-C-W
Rosa multiflora,3,1-3-C,W,NA,C,1-3-C-W
Sassafras albidum,1,1-3-C,W,NA,C,1-3-C-W
Monocot,10,1-3-C,W,NA,C,1-3-C-W
Alnus spp.,1,1-3-C,W,NA,C,1-3-C-W
Polygonum spp.,2,1-3-C,W,NA,C,1-3-C-W
Viola spp.,3,1-3-C,W,NA,C,1-3-C-W
Berberis thunbergii,1,1-3-C,W,NA,C,1-3-C-W
Polygonum spp.,10,1-3-C,SE,NA,C,1-3-C-SE
Lindera benzoin,3,1-3-C,SE,NA,C,1-3-C-SE
Dicot,1,1-3-C,SE,NA,C,1-3-C-SE
Viola spp.,6,1-3-C,SE,NA,C,1-3-C-SE
Dicot,1,1-3-C,SE,NA,C,1-3-C-SE
Ligustrum vulgare,2,1-3-C,SE,NA,C,1-3-C-SE
Berberis thunbergii,5,1-3-C,SE,NA,C,1-3-C-SE
Dicot,1,1-3-C,SE,NA,C,1-3-C-SE
Rosa multiflora,5,1-3-C,SE,NA,C,1-3-C-SE
Parthenocissus quinquefolia,2,1-3-C,SE,NA,C,1-3-C-SE
Boehmeria spp.,1,1-3-C,SE,NA,C,1-3-C-SE
Ligustrum vulgare,11,1-2-C,N,NA,C,1-2-C-N
Lindera benzoin,4,1-2-C,N,NA,C,1-2-C-N
Berberis thunbergii,7,1-2-C,N,NA,C,1-2-C-N
Parthenocissus quinquefolia,7,1-2-C,N,NA,C,1-2-C-N
Celastrus orbiculatus,7,1-2-C,N,NA,C,1-2-C-N
Polygonum spp.,4,1-2-C,N,NA,C,1-2-C-N
Impatiens spp.,10,1-2-C,N,NA,C,1-2-C-N
Rosa multiflora,1,1-2-C,N,NA,C,1-2-C-N
Berberis thunbergii,4,1-2-C,S,NA,C,1-2-C-S
Persicaria spp.,14,1-2-C,S,NA,C,1-2-C-S
Polygonum spp.,4,1-2-C,S,NA,C,1-2-C-S
Viola spp.,8,1-2-C,S,NA,C,1-2-C-S
Parthenocissus quinquefolia,5,1-2-C,S,NA,C,1-2-C-S
Lindera benzoin,4,1-2-C,S,NA,C,1-2-C-S
Ligustrum vulgare,6,1-2-C,S,NA,C,1-2-C-S
Ranunculus spp.,28,1-2-C,S,NA,C,1-2-C-S
Impatiens spp.,12,1-2-C,S,NA,C,1-2-C-S
Alliaria petiolata,6,1-2-C,S,NA,C,1-2-C-S
Boehmeria spp.,11,1-2-C,S,NA,C,1-2-C-S
Monocot,1,1-2-C,S,NA,C,1-2-C-S
Oxalis spp.,2,1-2-C,S,NA,C,1-2-C-S
Thelypteris noveboracensis,65,1-2-C,N,NA,C,1-2-C-N
Thelypteris noveboracensis,31,1-2-C,S,NA,C,1-2-C-S
Dryopteris x triploidea,15,1-2-C,N,NA,C,1-2-C-N
Dryopteris intermedia,5,1-2-C,N,NA,C,1-2-C-N
Dryopteris intermedia,10,1-2-C,S,NA,C,1-2-C-S
Dennstaedtia punctilobula,1,1-2-C,N,NA,C,1-2-C-N
Boehmeria spp.,4,1-3-I,SW,x,I,1-3-I-SW
Sassafras albidum,11,1-3-I,SW,x,I,1-3-I-SW
Persicaria spp.,6,1-3-I,SW,x,I,1-3-I-SW
Berberis thunbergii,36,1-3-I,SW,x,I,1-3-I-SW
Alliaria petiolata,3,1-3-I,SW,x,I,1-3-I-SW
Viola spp.,5,1-3-I,SW,x,I,1-3-I-SW
Monocot,1,1-3-I,SW,x,I,1-3-I-SW
Mitchella repens,6,1-3-I,SW,x,I,1-3-I-SW
Vitis spp.,1,1-3-I,SW,x,I,1-3-I-SW
Oxalis spp.,2,1-3-I,SW,x,I,1-3-I-SW
Lindera benzoin,3,1-3-I,SW,x,I,1-3-I-SW
Lonicera spp.,5,1-3-I,SW,x,I,1-3-I-SW
Rosa multiflora,2,1-3-I,SW,x,I,1-3-I-SW
Toxicodendron radicans,1,1-3-I,SW,x,I,1-3-I-SW
Polystichum acrostichoides,34,1-3-I,SW,x,I,1-3-I-SW
Galium spp.,8,1-3-I,W,x,I,1-3-I-W
Parthenocissus quinquefolia,9,1-3-I,W,x,I,1-3-I-W
Polygonum spp.,4,1-3-I,W,x,I,1-3-I-W
Ligustrum vulgare,8,1-3-I,W,x,I,1-3-I-W
Celastrus orbiculatus,4,1-3-I,W,x,I,1-3-I-W
Boehmeria spp.,4,1-3-I,W,x,I,1-3-I-W
Dicot,1,1-3-I,W,x,I,1-3-I-W
Dicot,2,1-3-I,W,x,I,1-3-I-W
Sassafras albidum,1,1-3-I,W,x,I,1-3-I-W
Vitis spp.,1,1-3-I,W,x,I,1-3-I-W
Alliaria petiolata,10,1-3-I,W,x,I,1-3-I-W
Impatiens spp.,2,1-3-I,W,x,I,1-3-I-W
Rubus spp.,1,1-3-I,W,x,I,1-3-I-W
Berberis thunbergii,11,1-3-I,W,x,I,1-3-I-W
Lindera benzoin,2,1-3-I,W,x,I,1-3-I-W
Rosa multiflora,4,1-3-I,W,x,I,1-3-I-W
Polystichum acrostichoides,166,1-3-I,W,x,I,1-3-I-W
Alliaria petiolata,13,1-3-R,S,NA,R,1-3-R-S
Persicaria spp.,55,1-3-R,S,NA,R,1-3-R-S
Berberis thunbergii,55,1-3-R,S,NA,R,1-3-R-S
Polygonum spp.,3,1-3-R,S,NA,R,1-3-R-S
Ligustrum vulgare,3,1-3-R,S,NA,R,1-3-R-S
Rosa multiflora,2,1-3-R,S,NA,R,1-3-R-S
Boehmeria spp.,2,1-3-R,S,NA,R,1-3-R-S
Impatiens spp.,2,1-3-R,S,NA,R,1-3-R-S
Viola spp.,7,1-3-R,S,NA,R,1-3-R-S
Oxalis spp.,2,1-3-R,S,NA,R,1-3-R-S
Phytolacca decandra,6,1-3-R,S,NA,R,1-3-R-S
Vitis spp.,2,1-3-R,S,NA,R,1-3-R-S
Oxalis spp.,1,1-3-R,S,NA,R,1-3-R-S
Persicaria spp.,9,1-3-R,NE,NA,R,1-3-R-NE
Berberis thunbergii,32,1-3-R,NE,NA,R,1-3-R-NE
Impatiens spp.,1,1-3-R,NE,NA,R,1-3-R-NE
Viola spp.,5,1-3-R,NE,NA,R,1-3-R-NE
Phytolacca decandra,17,1-3-R,NE,NA,R,1-3-R-NE
Polygonum spp.,3,1-3-R,NE,NA,R,1-3-R-NE
Rubus spp.,4,1-3-R,NE,NA,R,1-3-R-NE
Boehmeria spp.,1,1-3-R,NE,NA,R,1-3-R-NE
Vitis spp.,3,1-3-R,NE,NA,R,1-3-R-NE
Alliaria petiolata,19,1-3-R,NE,NA,R,1-3-R-NE
Lindera benzoin,1,1-3-R,NE,NA,R,1-3-R-NE
Rosa multiflora,6,1-3-R,NE,NA,R,1-3-R-NE
Ligustrum vulgare,3,1-3-R,NE,NA,R,1-3-R-NE
Oxalis spp.,1,1-3-R,NE,NA,R,1-3-R-NE
Polystichum acrostichoides,95,1-3-R,NE,NA,R,1-3-R-NE
Dryopteris intermedia,7,1-3-R,NE,NA,R,1-3-R-NE
Monotropa uniflora,1,1-3-R,NE,NA,R,1-3-R-NE
Thelypteris noveboracensis,60,1-3-C,SE,NA,C,1-3-C-SE
Thelypteris noveboracensis,230,1-3-C,W,NA,C,1-3-C-W
Rubus spp.,4,1-1-C,S,NA,C,1-1-C-S
Impatiens spp.,1,1-1-C,S,NA,C,1-1-C-S
Lindera benzoin,3,1-1-C,S,NA,C,1-1-C-S
Prunus serotina,1,1-1-C,S,NA,C,1-1-C-S
Thelypteris noveboracensis,250,1-1-C,S,NA,C,1-1-C-S
Lindera benzoin,18,1-1-C,NE,NA,C,1-1-C-NE
Boehmeria spp.,13,1-1-C,NE,NA,C,1-1-C-NE
Ligustrum vulgare,11,1-1-C,NE,NA,C,1-1-C-NE
Celastrus orbiculatus,5,1-1-C,NE,NA,C,1-1-C-NE
Parthenocissus quinquefolia,9,1-1-C,NE,NA,C,1-1-C-NE
Impatiens spp.,16,1-1-C,NE,NA,C,1-1-C-NE
Persicaria spp.,7,1-1-C,NE,NA,C,1-1-C-NE
Viola spp.,24,1-1-C,NE,NA,C,1-1-C-NE
Berberis thunbergii,13,1-1-C,NE,NA,C,1-1-C-NE
Circaea lutetiana,8,1-1-C,NE,NA,C,1-1-C-NE
Rubus spp.,2,1-1-C,NE,NA,C,1-1-C-NE
Monocot,4,1-1-C,NE,NA,C,1-1-C-NE
Maianthemum spp.,1,1-1-C,NE,NA,C,1-1-C-NE
Vitis spp.,1,1-1-C,NE,NA,C,1-1-C-NE
Acer rubrum,2,1-1-C,NE,NA,C,1-1-C-NE
Rosa multiflora,3,1-1-C,NE,NA,C,1-1-C-NE
Monocot,1,1-1-C,NE,NA,C,1-1-C-NE
Thelypteris noveboracensis,50,1-1-C,NE,NA,C,1-1-C-NE
Thelypteris noveboracensis,41,1-2-I,E,x,I,1-2-I-E
Dryopteris x triploidea,32,1-2-I,N,x,I,1-2-I-N
Dryopteris carthusiana,5,1-2-I,N,x,I,1-2-I-N
Thelypteris noveboracensis,22,1-2-I,N,x,I,1-2-I-N
Thelypteris noveboracensis,96,1-2-R,NE,NA,R,1-2-R-NE
Dennstaedtia punctilobula,5,1-2-R,NE,NA,R,1-2-R-NE
Thelypteris noveboracensis,7,1-2-R,NE,NA,R,1-2-R-NE
Dryopteris x triploidea,17,1-2-R,SW,NA,R,1-2-R-SW
Dryopteris carthusiana,8,1-2-R,SW,NA,R,1-2-R-SW
Thelypteris noveboracensis,23,1-2-R,SW,NA,R,1-2-R-SW
Lindera benzoin,9,1-1-I,W,x,I,1-1-I-W
Parthenocissus quinquefolia,18,1-1-I,W,x,I,1-1-I-W
Berberis thunbergii,24,1-1-I,W,x,I,1-1-I-W
Rubus spp.,10,1-1-I,W,x,I,1-1-I-W
Persicaria spp.,12,1-1-I,W,x,I,1-1-I-W
Alliaria petiolata,3,1-1-I,W,x,I,1-1-I-W
Acer rubrum,3,1-1-I,W,x,I,1-1-I-W
Prenanthes spp.,11,1-1-I,W,x,I,1-1-I-W
Rosa multiflora,18,1-1-I,W,x,I,1-1-I-W
Onoclea sensibilis,7,1-1-I,W,x,I,1-1-I-W
Viola spp.,6,1-1-I,W,x,I,1-1-I-W
Dryopteris spp.,19,1-1-I,W,x,I,1-1-I-W
Symplocarpus foetidus,1,1-1-I,E,x,I,1-1-I-E
Parthenocissus quinquefolia,13,1-1-I,E,x,I,1-1-I-E
Ranunculus spp.,9,1-1-I,E,x,I,1-1-I-E
Rubus spp.,6,1-1-I,E,x,I,1-1-I-E
Vitis spp.,10,1-1-I,E,x,I,1-1-I-E
Monocot,2,1-1-I,E,x,I,1-1-I-E
Lindera benzoin,2,1-1-I,E,x,I,1-1-I-E
Lindera benzoin,5,1-1-I,E,x,I,1-1-I-E
Persicaria spp.,13,1-1-I,E,x,I,1-1-I-E
Berberis thunbergii,10,1-1-I,E,x,I,1-1-I-E
Rosa multiflora,6,1-1-I,E,x,I,1-1-I-E
Dryopteris carthusiana,15,1-1-I,E,x,I,1-1-I-E
Onoclea sensibilis,21,1-1-I,E,x,I,1-1-I-E
Prenanthes spp.,2,1-1-I,E,x,I,1-1-I-E
Circaea lutetiana,1,1-1-I,E,x,I,1-1-I-E
Persicaria spp.,105,1-1-R,N,NA,R,1-1-R-N
Berberis thunbergii,18,1-1-R,N,NA,R,1-1-R-N
Impatiens spp.,5,1-1-R,N,NA,R,1-1-R-N
Boehmeria spp.,1,1-1-R,N,NA,R,1-1-R-N
Parthenocissus quinquefolia,12,1-1-R,N,NA,R,1-1-R-N
Microstegium vimineum,4,1-1-R,N,NA,R,1-1-R-N
Phytolacca decandra,7,1-1-R,N,NA,R,1-1-R-N
Dicot,1,1-1-R,N,NA,R,1-1-R-N
Crataegus spp.,1,1-1-I,E,x,I,1-1-I-E
Monocot,3,1-1-R,N,NA,R,1-1-R-N
Rubus spp.,1,1-1-R,N,NA,R,1-1-R-N
Symplocarpus foetidus,3,1-1-R,N,NA,R,1-1-R-N
Circaea lutetiana,1,1-1-R,N,NA,R,1-1-R-N
Rosa multiflora,3,1-1-R,N,NA,R,1-1-R-N
Vitis spp.,2,1-1-R,N,NA,R,1-1-R-N
Parthenocissus quinquefolia,16,1-1-R,SW,NA,R,1-1-R-SW
Berberis thunbergii,83,1-1-R,SW,NA,R,1-1-R-SW
Lindera benzoin,1,1-1-R,SW,NA,R,1-1-R-SW
Lindera benzoin,6,1-1-R,SW,NA,R,1-1-R-SW
Rubus spp.,2,1-1-R,SW,NA,R,1-1-R-SW
Vitis spp.,4,1-1-R,SW,NA,R,1-1-R-SW
Toxicodendron radicans,7,1-1-R,SW,NA,R,1-1-R-SW
Vitis spp.,1,1-1-R,SW,NA,R,1-1-R-SW
Prunus serotina,4,1-1-R,SW,NA,R,1-1-R-SW
Alnus spp.,3,1-1-R,SW,NA,R,1-1-R-SW
Rosa multiflora,1,1-1-R,SW,NA,R,1-1-R-SW
Persicaria spp.,9,1-1-R,SW,NA,R,1-1-R-SW
Prenanthes spp.,2,1-1-R,SW,NA,R,1-1-R-SW
Onoclea sensibilis,2,1-1-R,SW,NA,R,1-1-R-SW
Ligustrum vulgare,17,2-3-C,E,NA,C,2-3-C-E
Persicaria spp.,10,2-3-C,E,NA,C,2-3-C-E
Galium spp.,53,2-3-C,E,NA,C,2-3-C-E
Polygonum spp.,16,2-3-C,E,NA,C,2-3-C-E
Rubus spp.,9,2-3-C,E,NA,C,2-3-C-E
Parthenocissus quinquefolia,26,2-3-C,E,NA,C,2-3-C-E
Boehmeria spp.,1,2-3-C,E,NA,C,2-3-C-E
Lindera benzoin,12,2-3-C,E,NA,C,2-3-C-E
Celastrus orbiculatus,7,2-3-C,E,NA,C,2-3-C-E
Alliaria petiolata,9,2-3-C,E,NA,C,2-3-C-E
Berberis thunbergii,4,2-3-C,E,NA,C,2-3-C-E
Rosa multiflora,12,2-3-C,E,NA,C,2-3-C-E
Alnus spp.,2,2-3-C,E,NA,C,2-3-C-E
Sassafras albidum,4,2-3-C,E,NA,C,2-3-C-E
Impatiens spp.,7,2-3-C,E,NA,C,2-3-C-E
Lamiaceae,1,2-3-C,E,NA,C,2-3-C-E
Monocot,4,2-3-C,E,NA,C,2-3-C-E
Dryopteris triploidea,5,2-3-C,E,NA,C,2-3-C-E
Oxalis spp.,1,2-3-C,E,NA,C,2-3-C-E
Rubus spp.,12,2-3-C,S,NA,C,2-3-C-S
Polygonum spp.,6,2-3-C,S,NA,C,2-3-C-S
Boehmeria spp.,12,2-3-C,S,NA,C,2-3-C-S
Impatiens spp.,1,2-3-C,S,NA,C,2-3-C-S
Circaea lutetiana,2,2-3-C,S,NA,C,2-3-C-S
Lamiaceae,1,2-3-C,S,NA,C,2-3-C-S
Celastrus orbiculatus,2,2-3-C,S,NA,C,2-3-C-S
Ligustrum vulgare,9,2-3-C,S,NA,C,2-3-C-S
Alliaria petiolata,3,2-3-C,S,NA,C,2-3-C-S
Viola spp.,1,2-3-C,S,NA,C,2-3-C-S
Persicaria spp.,13,2-3-C,S,NA,C,2-3-C-S
Crataegus spp.,1,2-3-C,S,NA,C,2-3-C-S
Parthenocissus quinquefolia,4,2-3-C,S,NA,C,2-3-C-S
Lindera benzoin,4,2-3-C,S,NA,C,2-3-C-S
Dicot,3,2-3-C,S,NA,C,2-3-C-S
Toxicodendron radicans,4,2-3-C,S,NA,C,2-3-C-S
Monocot,3,2-3-C,S,NA,C,2-3-C-S
Acer rubrum,1,2-3-C,S,NA,C,2-3-C-S
Galium spp.,33,2-3-C,S,NA,C,2-3-C-S
Ilex spp.,1,2-3-C,S,NA,C,2-3-C-S
Oxalis spp.,2,2-3-C,S,NA,C,2-3-C-S
Rosa multiflora,6,2-3-C,S,NA,C,2-3-C-S
Polystichum acrostichoides,27,2-3-C,S,NA,C,2-3-C-S
Dryopteris triploidea,18,2-3-C,S,NA,C,2-3-C-S
Parthenocissus quinquefolia,17,1-1-I,Center,NA,I,1-1-I-Center
Toxicodendron radicans,7,1-1-I,Center,NA,I,1-1-I-Center
Polygonum spp.,1,1-1-I,Center,NA,I,1-1-I-Center
Crataegus spp.,2,1-1-I,Center,NA,I,1-1-I-Center
Onoclea sensibilis,3,1-1-I,Center,NA,I,1-1-I-Center
Berberis thunbergii,8,1-1-I,Center,NA,I,1-1-I-Center
Symplocarpus foetidus,1,1-1-I,Center,NA,I,1-1-I-Center
Rosa multiflora,3,1-1-I,Center,NA,I,1-1-I-Center
Monocot,1,1-1-I,Center,NA,I,1-1-I-Center
Monocot,1,1-1-I,Center,NA,I,1-1-I-Center
Lindera benzoin,4,1-1-I,Center,NA,I,1-1-I-Center
Impatiens spp.,5,1-2-C,Center,NA,C,1-2-C-Center
Boehmeria spp.,8,1-2-C,Center,NA,C,1-2-C-Center
Viola spp.,6,1-2-C,Center,NA,C,1-2-C-Center
Polygonum spp.,3,1-2-C,Center,NA,C,1-2-C-Center
Thelypteris noveboracensis,135,1-2-C,Center,NA,C,1-2-C-Center
Dryopteris intermedia,11,1-2-C,Center,NA,C,1-2-C-Center
Monocot,1,1-2-C,Center,NA,C,1-2-C-Center
Persicaria spp.,7,1-2-C,Center,NA,C,1-2-C-Center
Rosa multiflora,1,1-2-C,Center,NA,C,1-2-C-Center
Circaea lutetiana,1,1-2-C,Center,NA,C,1-2-C-Center
Parthenocissus quinquefolia,3,1-2-I,Center,NA,I,1-2-I-Center
Rubus spp.,3,1-2-I,Center,NA,I,1-2-I-Center
Thelypteris noveboracensis,6,1-2-I,Center,NA,I,1-2-I-Center
Rosa multiflora,5,1-2-I,Center,NA,I,1-2-I-Center
Boehmeria spp.,2,1-2-I,Center,NA,I,1-2-I-Center
Galium spp.,3,1-2-I,Center,NA,I,1-2-I-Center
Ligustrum vulgare,7,1-2-I,Center,NA,I,1-2-I-Center
Dryopteris triploidea,15,1-2-I,Center,NA,I,1-2-I-Center
Persicaria spp.,1,1-2-I,Center,NA,I,1-2-I-Center
Toxicodendron radicans,1,1-2-I,Center,NA,I,1-2-I-Center
Lindera benzoin,1,1-2-I,Center,NA,I,1-2-I-Center
Thelypteris noveboracensis,293,1-3-C,Center,NA,C,1-3-C-Center
Oxalis spp.,1,1-3-I,Center,NA,I,1-3-I-Center
Ligustrum vulgare,6,1-3-I,Center,NA,I,1-3-I-Center
Berberis thunbergii,19,1-3-I,Center,NA,I,1-3-I-Center
Polygonum spp.,5,1-3-I,Center,NA,I,1-3-I-Center
Impatiens spp.,4,1-3-I,Center,NA,I,1-3-I-Center
Polystichum acrostichoides,33,1-3-I,Center,NA,I,1-3-I-Center
Alliaria petiolata,12,1-3-I,Center,NA,I,1-3-I-Center
Dryopteris triploidea,3,1-3-I,Center,NA,I,1-3-I-Center
Persicaria spp.,2,1-3-I,Center,NA,I,1-3-I-Center
Boehmeria spp.,2,1-3-I,Center,NA,I,1-3-I-Center
Celastrus orbiculatus,28,2-1-C,Center,NA,C,2-1-C-Center
Parthenocissus quinquefolia,14,2-1-C,Center,NA,C,2-1-C-Center
Polygonum spp.,15,2-1-C,Center,NA,C,2-1-C-Center
Galium spp.,31,2-1-C,Center,NA,C,2-1-C-Center
Toxicodendron radicans,4,2-1-C,Center,NA,C,2-1-C-Center
Boehmeria spp.,20,2-1-C,Center,NA,C,2-1-C-Center
Ligustrum vulgare,13,2-1-C,Center,NA,C,2-1-C-Center
Berberis thunbergii,3,2-1-C,Center,NA,C,2-1-C-Center
Rosa multiflora,4,2-1-C,Center,NA,C,2-1-C-Center
Impatiens spp.,4,2-1-C,Center,NA,C,2-1-C-Center
Lindera benzoin,13,2-1-C,Center,NA,C,2-1-C-Center
Rubus spp.,4,2-1-C,Center,NA,C,2-1-C-Center
Persicaria spp.,6,2-1-C,Center,NA,C,2-1-C-Center
Circaea lutetiana,1,2-1-C,Center,NA,C,2-1-C-Center
Oxalis spp.,2,2-1-C,Center,NA,C,2-1-C-Center
Dryopteris spp.,6,2-1-C,Center,NA,C,2-1-C-Center
Berberis thunbergii,47,2-1-R,N,NA,R,2-1-R-N
Ligustrum vulgare,5,2-1-R,N,NA,R,2-1-R-N
Rubus spp.,2,2-1-R,N,NA,R,2-1-R-N
Polygonum spp.,16,2-1-R,N,NA,R,2-1-R-N
Celastrus orbiculatus,1,2-1-R,N,NA,R,2-1-R-N
Parthenocissus quinquefolia,7,2-1-R,N,NA,R,2-1-R-N
Sassafras albidum,1,2-1-R,N,NA,R,2-1-R-N
Impatiens spp.,1,2-1-R,N,NA,R,2-1-R-N
Alliaria petiolata,2,2-1-R,N,NA,R,2-1-R-N
Rosa multiflora,13,2-1-R,N,NA,R,2-1-R-N
Polystichum acrostichoides,22,2-1-R,N,NA,R,2-1-R-N
Toxicodendron radicans,2,2-1-R,N,NA,R,2-1-R-N
Dryopteris triploidea,8,2-1-R,N,NA,R,2-1-R-N
Persicaria spp.,2,2-1-R,N,NA,R,2-1-R-N
Berberis thunbergii,62,2-1-R,S,NA,R,2-1-R-S
Ligustrum vulgare,8,2-1-R,S,NA,R,2-1-R-S
Boehmeria spp.,1,2-1-R,S,NA,R,2-1-R-S
Polygonum spp.,14,2-1-R,S,NA,R,2-1-R-S
Rubus spp.,1,2-1-R,S,NA,R,2-1-R-S
Lindera benzoin,2,2-1-R,S,NA,R,2-1-R-S
Lindera benzoin,4,2-1-R,S,NA,R,2-1-R-S
Parthenocissus quinquefolia,4,2-1-R,S,NA,R,2-1-R-S
Toxicodendron radicans,2,2-1-R,S,NA,R,2-1-R-S
Rosa multiflora,19,2-1-R,S,NA,R,2-1-R-S
Polystichum acrostichoides,13,2-1-R,S,NA,R,2-1-R-S
Parthenocissus quinquefolia,5,2-1-I,W,NA,I,2-1-I-W
Ligustrum vulgare,2,2-1-I,W,NA,I,2-1-I-W
Alliaria petiolata,4,2-1-I,W,NA,I,2-1-I-W
Boehmeria spp.,12,2-1-I,W,NA,I,2-1-I-W
Lonicera spp.,1,2-1-I,W,NA,I,2-1-I-W
Celastrus orbiculatus,9,2-1-I,W,NA,I,2-1-I-W
Lindera benzoin,1,2-1-I,W,NA,I,2-1-I-W
Rosa multiflora,7,2-1-I,W,NA,I,2-1-I-W
Thelypteris noveboracensis,34,2-1-I,W,NA,I,2-1-I-W
Dryopteris triploidea,15,2-1-I,W,NA,I,2-1-I-W
Polystichum acrostichoides,18,2-1-I,W,NA,I,2-1-I-W
Ligustrum vulgare,3,2-1-I,SW,NA,I,2-1-I-SW
Celastrus orbiculatus,4,2-1-I,SW,NA,I,2-1-I-SW
Podophyllum peltatum,2,2-1-I,SW,NA,I,2-1-I-SW
Impatiens spp.,2,2-1-I,SW,NA,I,2-1-I-SW
Boehmeria spp.,2,2-1-I,SW,NA,I,2-1-I-SW
Polygonum spp.,2,2-1-I,SW,NA,I,2-1-I-SW
Parthenocissus quinquefolia,8,2-1-I,SW,NA,I,2-1-I-SW
Monocot,5,2-1-I,SW,NA,I,2-1-I-SW
Lindera benzoin,1,2-1-I,SW,NA,I,2-1-I-SW
Lindera benzoin,1,2-1-I,SW,NA,I,2-1-I-SW
Rosa multiflora,20,2-1-I,SW,NA,I,2-1-I-SW
Polystichum acrostichoides,45,2-1-I,SW,NA,I,2-1-I-SW
Thelypteris noveboracensis,28,2-1-I,SW,NA,I,2-1-I-SW
Dryopteris triploidea,15,2-1-I,SW,NA,I,2-1-I-SW
Lindera benzoin,24,2-1-C,Center,NA,C,2-1-C-Center
Ligustrum vulgare,16,2-1-C,Center,NA,C,2-1-C-Center
Parthenocissus quinquefolia,8,2-1-C,Center,NA,C,2-1-C-Center
Impatiens spp.,5,2-1-C,Center,NA,C,2-1-C-Center
Rubus spp.,7,2-1-C,Center,NA,C,2-1-C-Center
Boehmeria spp.,4,2-1-C,Center,NA,C,2-1-C-Center
