Site,Family,Genus,Species,Stage,Count
IR-LLB-6C,Lumbricidae,Eisenia,eisen,A,8
IR-LLB-6C,Lumbricidae,Lumbricus,terrestris,A,3
IR-LLB-6C,Lumbricidae,Amynthus,,A,3
IR-LLB-6C,Lumbricidae,Eiseniella,tetraedra,A,1
LT-KM-21C,Lumbricidae,Lumbricus,,J,4
LT-KM-21C,Lumbricidae,Eisenia,eiseni,A,2
LT-KM-21C,Lumbricidae,Dendrodrilus,rubidius,A,2
LT-KM-21C,Lumbricidae,Eiseniella,tetraedra,A,1
LT-KM-21I,Lumbricidae,Eiseniella,tetraedra,A,1
LT-KM-21I,Lumbricidae,Amynthus,,A,1
LT-KM-21I,Lumbricidae,Aporrectodae,,J,2
LT-KM-21I,Lumbricidae,Lumbricus,,J,1
LT-KM-21I,Lumbricidae,Eisenia,fetida,J,1
IR-LLB-6I,Lumbricidae,Dendrodrilus,rubidius,A,1
IR-LLB-6I,Lumbricidae,Amynthus,,A,1
IR-LLB-6I,Lumbricidae,Eiseniella,tetraedra,A,2
EHC-MW-18I,Megascolecidae,Amynthas,,A,1
EHC-MW-18I,Lumbricidae,Octolasion,,J,2
EHC-MW-18I,Lumbricidae,Aporrectodea,,J,3
EHC-MW-18C,none,none,,J,0
EHC-MW-19C,Lumbricidae,Octolasion,,J,6
EHC-MW-19C,Lumbricidae,Aporrectodea,,J,7
EHC-MW-19I,none,none,,J,0
EHC-MW-20I,none,none,,J,0
EHC-MW-20C,none,none,,J,0
IR-MB-17C,Lumbricidae,Amynthas,,A,2
IR-MB-17C,Lumbricidae,Octolasion,,J,2
IR-MB-17I,Lumbricidae,Aporrectodea,,J,1
EHC-LLT-3C,Lumbricidae,Amynthas,,A,3
EHC-LLT-3C,Lumbricidae,Amynthas,,J,1
EHC-LLT-3C,Lumbricidae,Dendrobaena,octaedra,J,1
EHC-LLT-3C,Lumbricidae,Aporrectodea,,J,2
EHC-LLT-3I,Lumbricidae,Aporrectodea,,J,3
EHC-LLT-3I,Lumbricidae,Octasion,,J,8
LT-KM-25I,Lumbricidae,Lumbricus,,J,1
LT-KM-25I,Lumbricidae,Dendrobaena,octaedra,A,1
LT-KM-25I,Megascalecidae,Mynthas,,A,1
IR-BC-16I,Lumbricidae,Dendrodrilus,rubidus,J,1
LT-KM-21I,Lumbricidae,Lumbricus,rubellus,A,2
LT-KM-21I,Lumbricidae,Lumbricus,,J,2
LT-KM-21I,Lumbricidae,Aporrectodea,rosea,A,1
LT-KM-21I,Lumbricidae,Aporrectodea,,J,1
IR-RG-10C,Lumbricidae,Dendrodrilus,rubidus,A,1
IR-RG-10C,Lumbricidae,Octolasion,cyneum,A,2
IR-RG-10C,Lumbricidae,Lumbricus,,J,5
EHC-LLT-2I,Lumbricidae,Octolasion,,J,13
EHC-LLT-2C,Lumbricidae,Octolasion,,J,10
IR-RG-9C,none,none,,J,0
IR-RG-9I,Lumbricidae,Dendrobaena,octaedra,J,1
IR-LLB-7C,Lumbricidae,Eiseniella,tetraedra,A,2
IR-LLB-7C,Unknown,,,A,1
IR-LLB-7C,Lumbricidae,Aporrectodea,,J,1
IR-LLB-7C,Lumbricidae,Lumbricus,,J,1
IR-LLB-7C,Lumbricidae,Eisenia,fetida,J,2
IR-LLB-7C,Lumbricidae,Eisenia,eiseni,A,1
IR-LLB-7C,Lumbricidae,Amynthus,,J,1
IR-LLB-7C,Lumbricidae,Dendrodrilus,rubidius,A,1
IR-LLB-8I,Lumbricidae,Dendrorilus,rubidus,A,3
IR-LLB-8I,Lumbricidae,Aporrectodea,,J,9
IR-LLB-8I,Lumbricidae,Amynthus,,J,1
IR-LLB-8I,Lumbricidae,Lumbricus,,J,1
IR-LLB-8I,Lumbricidae,Eisenia,fetida,J,1
IR-LLB-8I,Lumbricidae,Aporrectodea,rosea,A,1
IR-RG-26C,Lumbricidae,Aporrectodea,,J,3
IR-RG-26C,Lumbricidae,Octalasion,cyanecum,A,1
IR-RG-26I,Lumbricidae,Amynthus,,J,4
IR-RG-26I,Lumbricidae,Aporrectodea,,J,2
IR-RG-26I,Lumbricidae,Octolasion,,J,2
IR-RG-27C,Lumbricidae,Aporrectodea,,J,5
IR-RG-27C,Lumbricidae,Eisenia,fetida,J,1
IR-RG-27I,Lumbricidae,Eisenia,eiseni,A,1
IR-RG-27I,Lumbricidae,Aporrectodea,,J,1
IR-RG-27I,Lumbricidae,Amynthus,,A,1
IR-RG-28C,Lumbricidae,Lumbricus,,J,1
IR-RG-28C,Lumbricidae,Aporrectodae,,J,1
IR-RG-28I,Lumbricidae,Aporrectodae,,J,3
IR-RG-28I,Lumbricidae,Octolasion,,J,1
IR-RG-29C,none,none,,J,0
IR-RG-29I,Lumbricidae,Amynthus,,J,1
LT-KM-7I,none,none,,J,0
LT-KM-28I,Lumbricidae,Eisenia,fetida,J,1
IR-RG-30C,none,none,,J,0
IR-RG-30I,Lumbricidae,Eisenia,fetida,J,1
IR-RG-11C,none,none,,J,0
IR-BC-16C,Lumbricidae,Lumbricus,,J,2
IR-BC-16C,Lumbricidae,Aporrectodea,,J,1
LT-KM-24C,none,none,,J,0
LT-KM-24I,none,none,,J,0
IR-LCB-7C,Lumbricidae,Lumbricus,terretris,A,1
IR-LCB-7C,Lumbricidae,Amynthus,,J,13
IR-LCB-7C,Lumbricidae,Dendrobaena,octaedra,J,1
IR-RG-9I,Lumbricidae,Amynthus,,J,1
IR-RG-11I,Lumbricidae,Dendrobaena,ctaedra,J,1
IR-LCB-11C,Lumbricidae,Dendrobaena,octaedra,A,1
IR-LCB-11C,Unknown,,,J,1
IR-LCB-11C,Lumbricidae,Amynthus,,A,2
IR-LCB-11C,Lumbricidae,Amynthus,,J,14
IR-LCB-11C,Lumbricidae,Octolasion,,J,1
