Date,Plot,Row,Column,ID,Lc,H,P,Ll
7/19/2017,I3,5,5,349,4,7.2,4.9,6
7/19/2017,I3,5,9,544,1,7.6,7.5,12.2
7/19/2017,I3,5,8,543,6,8.7,3.6,12.7
7/19/2017,I3,6,9,542,6,7.8,4.8,10.6
7/19/2017,I3,6,8,347,1,5.8,5.4,2.6
7/19/2017,I3,6,7,347,3,3.7,2.6,4.6
7/19/2017,I3,7,7,348,2,6.5,6.4,5.4
7/19/2017,I3,7,8,348,3,7.6,7.2,6.4
7/19/2017,I3,7,9,545,5,10.9,7.9,10.7
7/19/2017,I3,7,5,546,4,10.4,9.5,16.4
7/19/2017,I3,9,4,550,4,6.4,5.8,13.4
7/19/2017,I3,9,1,247,2,9.6,9.4,8.7
7/19/2017,I3,7,3,540,6,8.4,2.5,12.7
7/19/2017,I3,7,1,548,5,13.2,11.4,14.4
7/19/2017,I3,6,3,541,4,17,14.6,15.7
7/19/2017,I3,5,4,349,5,7.8,6.6,5
7/19/2017,I3,5,1,249,1,4.1,4,4.2
7/19/2017,I3,4,1,350,3,7.2,5,5
7/19/2017,I3,3,1,350,4,3.4,2.7,5.4
7/19/2017,I3,2,1,327,2,5.6,4.4,4.9
7/19/2017,I3,1,2,529,5,10.7,8.6,14.9
7/19/2017,I3,1,1,534,6,12.7,11,12
7/19/2017,I3,1,2,328,1,7.6,7.5,4.7
7/19/2017,C3,1,2,347,5,11.7,5.1,13.3
7/19/2017,C3,1,3,327,4,8.2,6.1,5.3
7/19/2017,C3,1,5,488,6,15.7,8.2,14.7
7/19/2017,C3,1,6,329,5,6.8,3.2,2.7
7/19/2017,C3,1,7,489,6,11.7,9.6,15.2
7/19/2017,C3,1,9,330,3,9,6.2,6.2
7/19/2017,C3,2,2,490,5,14,7.6,16.2
7/19/2017,C3,3,3,492,4,9.7,8.1,12
7/19/2017,C3,3,5,331,3,3,2.7,5.2
7/19/2017,C3,3,7,332,4,6.2,4.3,5.6
7/19/2017,C3,3,8,493,4,7.9,6.8,13.2
7/19/2017,C3,4,1,332,2,8.2,5.6,4.7
7/19/2017,C3,4,4,494,4,15.6,12.5,16.2
7/19/2017,C3,4,5,332,2,5.4,4.8,6
7/19/2017,C3,4,9,333,1,5.6,5.2,5.1
7/19/2017,C3,4,8,333,2,5.6,5.4,4.7
7/19/2017,C3,5,2,333,3,6.8,5.5,4.6
7/19/2017,C3,5,3,334,5,7.3,4.6,5.4
7/19/2017,C3,5,4,334,3,8.7,7.2,6.4
7/19/2017,C3,5,5,334,2,5.1,4.8,4.7
7/19/2017,C3,5,6,334,2,7,6,5.4
7/19/2017,C3,5,7,496,6,17.2,6.7,15.4
7/19/2017,C3,5,8,334,3,7.4,4.7,5.2
7/19/2017,C3,6,9,335,3,6.7,5.4,5.4
7/19/2017,C3,6,8,335,3,9.2,5.2,5.4
7/19/2017,C3,6,7,499,4,9.2,7.4,11.2
7/19/2017,C3,6,6,186,0,6.2,6.2,0
7/19/2017,C3,6,5,335,3,6.6,4.6,4.2
7/19/2017,C3,6,4,498,5,7.2,4.1,6.6
7/19/2017,C3,6,2,497,4,13.2,7.9,16.3
7/19/2017,C3,7,2,336,4,5.2,3.7,4.6
7/19/2017,C3,7,3,500,7,17.3,5.2,14.1
7/19/2017,C3,7,7,501,5,11.6,10.4,16.2
7/19/2017,C3,7,9,502,4,8.2,5.7,8.4
7/19/2017,C3,7,9,502,7,12.6,7.6,11.3
7/19/2017,C3,8,8,337,6,7,3.4,4.2
7/19/2017,C3,9,8,507,5,13,8.4,11.9
7/19/2017,C3,8,7,193,4,10.7,10,13.2
7/19/2017,C3,9,6,337,4,4.9,3.6,5.4
7/19/2017,C3,8,5,337,1,7.2,7,4.7
7/19/2017,C3,9,4,506,7,9.9,5,12.2
7/19/2017,C3,8,3,504,7,12.9,4.6,12.4
7/19/2017,C3,8,2,337,1,5.5,5.2,5
7/19/2017,C2,1,2,290,2,7.6,7.4,5.4
7/19/2017,C2,1,3,420,6,9.4,7.4,12
7/19/2017,C2,1,8,422,4,9.2,8.4,17.4
7/19/2017,C2,2,4,424,7,15.4,9.7,14.2
7/19/2017,C2,2,6,303,1,7.2,7,5.4
7/19/2017,C2,2,7,303,1,6,5.7,4.4
7/19/2017,C2,2,9,425,5,12.1,7.2,15.7
7/19/2017,C2,3,3,426,7,13,7.6,15.7
7/19/2017,C2,3,5,50,4,10.2,9.6,14.4
7/19/2017,C2,3,6,427,5,14.9,12.1,11.3
7/19/2017,C2,3,9,428,6,12,6.3,15.5
7/19/2017,C2,4,1,306,1,6.7,5.1,13.4
7/19/2017,C2,4,2,306,1,7.1,6.3,1.5
7/19/2017,C2,4,5,429,4,12.4,10.4,4.2
7/19/2017,C2,4,6,430,6,13.6,12.1,10.5
7/19/2017,C2,4,8,53,3,10.2,9.6,18.7
7/19/2017,C2,5,1,431,6,10,7.2,12.4
7/19/2017,C2,5,3,432,5,11.2,9,11.5
7/19/2017,C2,5,4,309,1,8,7.4,11.7
7/19/2017,C2,5,5,309,1,6.2,6,5.7
7/19/2017,C2,5,6,58,3,6.2,5.7,5.6
7/19/2017,C2,5,8,433,8,16.2,6.2,13.3
7/19/2017,C2,5,9,309,0,5.4,5.4,0
7/19/2017,C2,7,1,309,2,3.6,3.4,5.2
7/19/2017,C2,7,2,311,1,5.2,4.3,2.4
7/19/2017,C2,6,1,310,0,6.1,6.1,0
7/19/2017,C2,6,2,310,1,6.7,3.2,4.3
7/19/2017,C2,6,3,59,3,12.3,11.7,12.4
7/19/2017,C2,6,4,434,9,7,2.1,7.2
7/19/2017,C2,6,5,310,0,6.2,6.2,0
7/19/2017,C2,6,6,435,5,20.1,17.4,16
7/19/2017,C2,6,8,310,1,6.2,6,3.1
7/19/2017,C2,6,9,310,1,4,0.7,1.1
7/19/2017,C2,7,5,310,4,15.4,3.2,15.7
7/19/2017,C2,7,6,411,4,6.4,6,4.7
7/19/2017,C2,7,8,438,4,11.2,9.5,14.2
7/19/2017,C2,8,1,60,2,10.7,10.5,13.3
7/19/2017,C2,8,2,311,2,6.5,6.4,5.7
7/19/2017,C2,8,3,441,7,14.9,11.4,16.3
7/19/2017,C2,8,5,311,3,5.4,5.1,5.7
7/19/2017,C2,8,7,311,2,7.2,6.8,6.5
7/19/2017,C2,9,7,440,5,12.7,7,14.7
7/19/2017,C2,9,6,312,3,7,5.6,6.7
7/19/2017,C2,9,4,439,5,12.5,8.2,14
7/19/2017,R2,1,1,277,3,6.4,4.2,5.7
7/19/2017,R2,1,2,61,8,8.2,8,8.2
7/19/2017,R2,1,4,277,1,3.2,3,4.2
7/19/2017,R2,1,5,442,5,10.2,8.1,14
7/19/2017,R2,1,8,444,6,8.2,3.7,13.5
7/19/2017,R2,1,9,276,1,4.6,4,4
7/19/2017,R2,2,1,276,4,6.2,5.2,4.2
7/19/2017,R2,2,2,445,1,5.2,4.7,8.7
7/19/2017,R2,2,3,62,8,15.2,6.2,11.2
7/19/2017,R2,2,5,276,1,6.3,6,4.7
7/19/2017,R2,2,6,446,4,11.6,10.6,13.5
7/19/2017,R2,2,9,276,1,2.2,2.1,1.6
7/19/2017,R2,3,1,447,5,13.4,12,14.2
7/19/2017,R2,3,7,278,1,5.6,5.4,4.8
7/19/2017,R2,3,8,448,6,13.2,7.2,10.4
7/19/2017,R2,3,9,278,2,7.4,7.1,3
7/19/2017,R2,4,1,449,5,12.4,11.1,14.6
7/19/2017,R2,4,3,450,5,11,5.4,15.6
7/19/2017,R2,4,7,64,4,5,4.7,8.9
7/19/2017,R2,4,9,451,3,13.3,11.4,11.4
7/19/2017,R2,5,4,280,2,4.6,4.3,1.4
7/19/2017,R2,5,5,280,2,4.4,2.1,1
7/19/2017,R2,5,7,453,5,13,9.7,14.6
7/19/2017,R2,6,3,281,2,5.4,2.4,1.3
7/19/2017,R2,6,6,65,4,11.4,11,9.6
7/19/2017,R2,6,7,455,7,9,3.7,12
7/19/2017,R2,7,1,284,2,8.2,6.5,5.7
7/19/2017,R2,7,3,284,1,4.1,2.1,1.4
7/19/2017,R2,7,5,76,3,9,7.9,9.4
7/19/2017,R2,7,6,456,8,22.1,11.1,15.4
7/19/2017,R2,7,7,284,4,5.2,4.6,4.7
7/19/2017,R2,7,8,457,5,7.2,6.2,14
7/19/2017,R2,8,1,285,2,4.5,4.1,3.7
7/19/2017,R2,8,2,285,1,7,6.8,4.7
7/19/2017,R2,8,4,286,2,7.2,7,3.4
7/19/2017,R2,8,7,458,6,12.2,4.7,16.4
7/19/2017,R2,8,8,288,2,6.1,5.8,4.2
7/19/2017,R2,9,9,289,1,2.3,2.1,4.7
7/19/2017,R2,9,8,289,1,6.2,6,5.4
7/19/2017,R2,9,7,289,2,6.7,6.5,4.2
7/19/2017,R2,9,6,289,1,2.5,2.4,4.3
7/19/2017,R2,9,5,462,6,12.2,9.7,11.2
7/19/2017,R2,9,4,461,5,13.2,10.4,14.2
7/19/2017,R2,9,3,180,2,5.6,5,12
7/19/2017,R2,9,1,460,4,7,6.2,12.9
7/19/2017,I2,1,1,363,4,7.6,5.2,10.6
7/19/2017,I2,1,1,363,5,7.5,4.7,10.4
7/19/2017,I2,1,2,464,5,15.4,7.2,15.7
7/19/2017,I2,1,3,314,1,6.2,6,6.4
7/19/2017,I2,1,4,314,1,7.1,6.8,5.2
7/19/2017,I2,1,5,314,6,7.2,3.4,5
7/19/2017,I2,1,6,313,3,7.4,7.2,2.4
7/19/2017,I2,1,7,313,4,8.2,6.4,4.2
7/19/2017,I2,2,1,465,5,14.3,12,12.7
7/19/2017,I2,2,3,314,3,8.3,6.4,5.4
7/19/2017,I2,2,4,314,2,7.8,5.4,4.7
7/19/2017,I2,2,5,314,3,7.8,5.6,5.6
7/19/2017,I2,2,6,113,3,11.2,11,9.2
7/19/2017,I2,2,8,466,5,10.5,6.7,14.3
7/19/2017,I2,3,1,315,4,7.8,5.9,4.4
7/19/2017,I2,3,2,467,8,22.5,8,10.3
7/19/2017,I2,3,3,315,1,4.7,4,2.4
7/19/2017,I2,3,5,315,3,7.5,4.9,5.2
7/19/2017,I2,3,6,315,3,6.8,6,6
7/19/2017,I2,3,7,315,2,7,6.8,6
7/19/2017,I2,3,9,315,1,7,6.8,4.2
7/19/2017,I2,4,3,316,3,4.3,4.1,4.2
7/19/2017,I2,4,5,317,2,7.3,7.2,3.2
7/19/2017,I2,4,6,317,1,5.2,5,6.4
7/19/2017,I2,4,7,317,3,5.2,4.3,4.5
7/19/2017,I2,5,1,317,2,5,4.6,5
7/19/2017,I2,5,3,470,6,15.2,11.7,11.1
7/19/2017,I2,5,5,473,4,10.3,7.8,12.6
7/19/2017,I2,5,6,162,4,9,8.2,12
7/19/2017,I2,5,7,471,4,9.7,8.5,11.5
7/19/2017,I2,6,1,480,5,16,11.4,14.2
7/19/2017,I2,6,3,481,4,12,10,12.4
7/19/2017,I2,6,4,319,1,6.6,5.1,4.6
7/19/2017,I2,6,5,474,3,7,6.2,10.2
7/19/2017,I2,6,6,475,4,11.9,11,14.7
7/19/2017,I2,7,3,320,2,4.6,4.2,4.2
7/19/2017,I2,7,4,477,5,14.1,8.5,15.3
7/19/2017,I2,7,5,318,2,8,7.6,5.4
7/19/2017,I2,7,6,318,1,7.4,7.3,4.5
7/19/2017,I2,7,7,476,3,8.2,8,12.2
7/19/2017,I2,8,4,320,3,8.2,4.6,5
7/19/2017,I2,8,5,478,5,12.6,7.7,12
7/19/2017,I2,8,6,166,3,7.2,7,11.4
7/19/2017,I2,8,7,319,2,6.5,6.2,12.1
7/19/2017,I2,9,4,320,6,8.2,3.6,6.4
7/19/2017,I2,9,7,319,2,7.8,7.6,4.5
7/19/2017,I2,9,9,319,1,7,6.3,4.2
7/19/2017,I2,9,2,486,8,22.1,10,15.2
7/19/2017,I2,9,1,485,5,14.2,10.9,12.3
7/19/2017,I2,8,1,484,5,10.3,8,11.7
7/19/2017,I2,7,1,483,3,16.7,15.5,14.7
7/19/2017,I1,1,1,396,7,13.5,6.3,12.7
7/19/2017,I1,1,2,32,5,8.2,7.6,7.1
7/19/2017,I1,1,3,270,2,8.1,6.7,3.7
7/19/2017,I1,2,1,370,2,6.8,5.4,5.3
7/19/2017,I1,2,2,370,2,6.8,3.4,6.5
7/19/2017,I1,3,2,371,3,4.3,2.2,6
7/19/2017,I1,2,4,402,6,17,8.2,14.7
7/19/2017,I1,3,4,403,6,17.3,13.5,15.2
7/19/2017,I1,4,4,272,3,6.1,4.2,6.2
7/19/2017,I1,4,2,271,2,7.8,5.2,5.7
7/19/2017,I1,5,1,272,0,6.2,6.2,0
7/19/2017,I1,5,3,407,8,21.1,13.2,13.4
7/19/2017,I1,6,4,410,8,21.1,8.7,14.3
7/19/2017,I1,6,1,273,3,8.2,4.7,5.2
7/19/2017,I1,7,2,272,1,6.6,5.8,6.2
7/19/2017,I1,8,1,274,1,5.2,5,5.7
7/19/2017,I1,8,2,274,0,8.2,8.2,0
7/19/2017,I1,9,9,419,1,12.2,8.5,6.4
7/19/2017,I1,9,8,418,4,14.7,11.7,12.7
7/19/2017,I1,8,8,274,1,7.8,7.2,4.6
7/19/2017,I1,8,6,415,5,14.3,6.3,15.4
7/19/2017,I1,7,6,413,4,11.2,10.2,10.5
7/19/2017,I1,7,8,414,7,12.2,6.5,15.8
7/19/2017,I1,7,9,47,4,10.7,10.2,10.3
7/19/2017,I1,6,5,411,5,13.2,9,14.2
7/19/2017,I1,5,6,408,7,10.6,9,12.6
7/19/2017,I1,5,7,45,2,9.6,9,9.2
7/19/2017,I1,5,8,273,3,6.8,5.6,6
7/19/2017,I1,4,8,406,4,8.9,7.3,16.7
7/19/2017,I1,3,9,271,3,5.8,5.6,5.2
7/19/2017,I1,4,6,405,4,14.6,13.5,11.8
7/19/2017,I1,3,6,404,4,15.3,12.4,13.7
7/19/2017,I1,3,8,43,0,9.2,9.2,0
7/19/2017,R1,1,1,374,1,19.2,17.2,16.4
7/19/2017,R1,1,3,265,2,4.2,3.3,1.1
7/19/2017,R1,1,5,21,3,6.2,6,9.6
7/19/2017,R1,1,9,265,1,5.6,5.4,4.6
7/19/2017,R1,1,9,265,0,6,6,0
7/19/2017,R1,2,1,265,1,2.3,2,1.2
7/19/2017,R1,2,3,266,3,2,1.2,0.37
7/19/2017,R1,2,4,24,0,9.4,9.4,0
7/19/2017,R1,3,2,28,5,9.6,9.2,5.2
7/19/2017,R1,3,7,267,0,5.7,5.7,0
7/19/2017,R1,3,8,378,6,13.3,8.3,11.7
7/19/2017,R1,4,1,379,5,17.3,14.9,15.7
7/19/2017,R1,4,2,380,6,18.3,7.4,16.2
7/19/2017,R1,4,7,267,0,6.7,6.7,0
7/19/2017,R1,5,9,29,5,8.9,8.2,8.9
7/19/2017,R1,5,8,268,2,6.2,6,5.7
7/19/2017,R1,5,6,30,4,11.6,11,16.4
7/19/2017,R1,5,1,268,0,7.8,7.8,0
7/19/2017,R1,6,2,383,6,21.2,16.3,16.9
7/19/2017,R1,6,4,30,3,10.3,9.6,11.7
7/19/2017,R1,6,5,384,4,10.2,9.6,14.3
7/19/2017,R1,6,7,386,4,8.3,7.9,10.6
7/19/2017,R1,6,8,269,2,3.4,3.2,4.7
7/19/2017,R1,7,1,387,4,10.8,7.3,13.1
7/19/2017,R1,7,2,388,4,12.6,5.4,14.7
7/19/2017,R1,7,3,389,5,13.4,11.2,13.6
7/19/2017,R1,7,5,31,5,9.5,8.7,9.2
7/19/2017,R1,8,4,393,5,16.7,8.2,6.4
7/19/2017,R1,8,5,394,5,12.9,10.7,14.6
7/19/2017,R1,8,6,269,3,5.7,4.9,5.8
7/19/2017,R1,9,8,399,1,10.7,8.6,4.8
7/19/2017,R1,9,6,398,0,9.2,9.2,0
7/19/2017,R1,9,5,269,1,6.3,6.1,5.3
7/19/2017,R1,9,1,395,5,9.2,5.2,11.7
7/19/2017,C1,1,2,251,0,6.2,6.2,0
7/19/2017,C1,1,3,351,4,2.3,10.9,16.2
7/19/2017,C1,1,5,251,0,5.2,5.2,0
7/19/2017,C1,1,9,3,4,8.6,8,10.1
7/19/2017,C1,2,9,254,1,2.1,1.3,0.3
7/19/2017,C1,2,8,355,4,14.3,5.8,16.2
7/19/2017,C1,2,7,354,4,6.5,11.2,12.7
7/19/2017,C1,2,4,353,4,19.5,17.2,19.1
7/19/2017,C1,2,3,252,1,8,6.5,1.2
7/19/2017,C1,2,2,352,4,12.7,10.2,12.1
7/19/2017,C1,3,2,254,1,4.5,4.5,0.3
7/19/2017,C1,3,4,356,5,12.1,8.6,16.6
7/19/2017,C1,3,5,254,1,5.2,5,0.3
7/19/2017,C1,3,8,7,4,8.7,8.3,9.2
7/19/2017,C1,4,3,357,5,14.4,13.6,17.2
7/19/2017,C1,4,5,358,6,10.8,6.3,11
7/19/2017,C1,5,1,17,0,10.7,10.1,0
7/19/2017,C1,5,2,259,1,1.4,1.3,0.4
7/19/2017,C1,5,5,19,5,11.6,11.4,11.7
7/19/2017,C1,5,6,360,5,12.4,11.6,4.3
7/19/2017,C1,5,9,361,5,14.1,12.3,12.6
7/19/2017,C1,6,9,261,0,4.2,4,0
7/19/2017,C1,6,8,366,6,15.4,14.9,4.7
7/19/2017,C1,7,9,262,3,7.2,6.2,3
7/19/2017,C1,8,9,371,4,14.2,13.4,15.7
7/19/2017,C1,9,9,265,1,1.7,1.6,0.3
7/19/2017,C1,8,8,263,2,3.7,2.8,4.6
7/19/2017,C1,9,8,373,4,12.7,11.1,14.2
7/19/2017,C1,6,5,370,5,13.4,11.2,15
7/19/2017,C1,6,4,360,4,19.8,17.8,16.6
7/19/2017,C1,8,4,263,2,2.6,2.4,3
7/19/2017,C1,9,5,264,4,4.3,3.6,6.2
7/19/2017,C1,9,6,373,4,11.2,8.2,14.6
7/19/2017,C1,6,8,261,0,6.6,6.6,0
7/19/2017,C1,6,1,362,4,14,11.2,18.1
7/19/2017,C1,9,2,264,0,6.2,6.2,0
7/19/2017,C1,6,4,263,2,2.7,2.4,4.6
7/19/2017,C1,7,4,263,1,2.1,2,4.2
